BSE_YEAR,BSE_WEEK,BSE_MNTH,WEEK_ST_DT,WEEK_END_DT,BSE_QTR_CD,BSE_HALF_YEAR_CD
2024,40,10,2024/09/29 00:00:00,2024/10/05 23:59:59,4Q,SH
2024,41,10,2024/10/06 00:00:00,2024/10/12 23:59:59,4Q,SH
2024,42,10,2024/10/13 00:00:00,2024/10/19 23:59:59,4Q,SH
2024,43,10,2024/10/20 00:00:00,2024/10/26 23:59:59,4Q,SH
2024,44,10,2024/10/27 00:00:00,2024/11/02 23:59:59,4Q,SH
2024,45,11,2024/11/03 00:00:00,2024/11/09 23:59:59,4Q,SH
2024,46,11,2024/11/10 00:00:00,2024/11/16 23:59:59,4Q,SH
2024,47,11,2024/11/17 00:00:00,2024/11/23 23:59:59,4Q,SH
2024,48,11,2024/11/24 00:00:00,2024/11/30 23:59:59,4Q,SH
2024,49,12,2024/12/01 00:00:00,2024/12/07 23:59:59,4Q,SH
2024,50,12,2024/12/08 00:00:00,2024/12/14 23:59:59,4Q,SH
2024,51,12,2024/12/15 00:00:00,2024/12/21 23:59:59,4Q,SH
2024,52,12,2024/12/22 00:00:00,2024/12/28 23:59:59,4Q,SH
2025,01,01,2024/12/29 00:00:00,2025/01/04 23:59:59,1Q,FH
2025,02,01,2025/01/05 00:00:00,2025/01/11 23:59:59,1Q,FH
2025,03,01,2025/01/12 00:00:00,2025/01/18 23:59:59,1Q,FH
2025,04,01,2025/01/19 00:00:00,2025/01/25 23:59:59,1Q,FH
2025,05,01,2025/01/26 00:00:00,2025/02/01 23:59:59,1Q,FH
2025,06,02,2025/02/02 00:00:00,2025/02/08 23:59:59,1Q,FH
2025,07,02,2025/02/09 00:00:00,2025/02/15 23:59:59,1Q,FH
2025,08,02,2025/02/16 00:00:00,2025/02/22 23:59:59,1Q,FH
2025,09,02,2025/02/23 00:00:00,2025/03/01 23:59:59,1Q,FH
2025,10,03,2025/03/02 00:00:00,2025/03/08 23:59:59,1Q,FH
2025,11,03,2025/03/09 00:00:00,2025/03/15 23:59:59,1Q,FH
2025,12,03,2025/03/16 00:00:00,2025/03/22 23:59:59,1Q,FH
2025,13,03,2025/03/23 00:00:00,2025/03/29 23:59:59,1Q,FH
2025,14,04,2025/03/30 00:00:00,2025/04/05 23:59:59,2Q,FH
2025,15,04,2025/04/06 00:00:00,2025/04/12 23:59:59,2Q,FH
2025,16,04,2025/04/13 00:00:00,2025/04/19 23:59:59,2Q,FH
2025,17,04,2025/04/20 00:00:00,2025/04/26 23:59:59,2Q,FH
2025,18,04,2025/04/27 00:00:00,2025/05/03 23:59:59,2Q,FH
2025,19,05,2025/05/04 00:00:00,2025/05/10 23:59:59,2Q,FH
2025,20,05,2025/05/11 00:00:00,2025/05/17 23:59:59,2Q,FH
2025,21,05,2025/05/18 00:00:00,2025/05/24 23:59:59,2Q,FH
2025,22,05,2025/05/25 00:00:00,2025/05/31 23:59:59,2Q,FH
2025,23,06,2025/06/01 00:00:00,2025/06/07 23:59:59,2Q,FH
2025,24,06,2025/06/08 00:00:00,2025/06/14 23:59:59,2Q,FH
2025,25,06,2025/06/15 00:00:00,2025/06/21 23:59:59,2Q,FH
2025,26,06,2025/06/22 00:00:00,2025/06/28 23:59:59,2Q,FH
2025,27,07,2025/06/29 00:00:00,2025/07/05 23:59:59,3Q,SH
2025,28,07,2025/07/06 00:00:00,2025/07/12 23:59:59,3Q,SH
2025,29,07,2025/07/13 00:00:00,2025/07/19 23:59:59,3Q,SH
2025,30,07,2025/07/20 00:00:00,2025/07/26 23:59:59,3Q,SH
2025,31,07,2025/07/27 00:00:00,2025/08/02 23:59:59,3Q,SH
2025,32,08,2025/08/03 00:00:00,2025/08/09 23:59:59,3Q,SH
2025,33,08,2025/08/10 00:00:00,2025/08/16 23:59:59,3Q,SH
2025,34,08,2025/08/17 00:00:00,2025/08/23 23:59:59,3Q,SH
2025,35,08,2025/08/24 00:00:00,2025/08/30 23:59:59,3Q,SH
2025,36,09,2025/08/31 00:00:00,2025/09/06 23:59:59,3Q,SH
2025,37,09,2025/09/07 00:00:00,2025/09/13 23:59:59,3Q,SH
2025,38,09,2025/09/14 00:00:00,2025/09/20 23:59:59,3Q,SH
2025,39,09,2025/09/21 00:00:00,2025/09/27 23:59:59,3Q,SH
2025,40,10,2025/09/28 00:00:00,2025/10/04 23:59:59,4Q,SH
2025,41,10,2025/10/05 00:00:00,2025/10/11 23:59:59,4Q,SH
2025,42,10,2025/10/12 00:00:00,2025/10/18 23:59:59,4Q,SH
2025,43,10,2025/10/19 00:00:00,2025/10/25 23:59:59,4Q,SH
2025,44,10,2025/10/26 00:00:00,2025/11/01 23:59:59,4Q,SH
2025,45,11,2025/11/02 00:00:00,2025/11/08 23:59:59,4Q,SH
2025,46,11,2025/11/09 00:00:00,2025/11/15 23:59:59,4Q,SH
2025,47,11,2025/11/16 00:00:00,2025/11/22 23:59:59,4Q,SH
2025,48,11,2025/11/23 00:00:00,2025/11/29 23:59:59,4Q,SH
2025,49,12,2025/11/30 00:00:00,2025/12/06 23:59:59,4Q,SH
2025,50,12,2025/12/07 00:00:00,2025/12/13 23:59:59,4Q,SH
2025,51,12,2025/12/14 00:00:00,2025/12/20 23:59:59,4Q,SH
2025,52,12,2025/12/21 00:00:00,2025/12/27 23:59:59,4Q,SH
2026,01,01,2025/12/28 00:00:00,2026/01/03 23:59:59,1Q,SH
2026,02,01,2026/01/04 00:00:00,2026/01/10 23:59:59,1Q,FH
2026,03,01,2026/01/11 00:00:00,2026/01/17 23:59:59,1Q,FH
2026,04,01,2026/01/18 00:00:00,2026/01/24 23:59:59,1Q,FH
2026,05,01,2026/01/25 00:00:00,2026/01/31 23:59:59,1Q,FH
2026,06,02,2026/02/01 00:00:00,2026/02/07 23:59:59,1Q,FH
2026,07,02,2026/02/08 00:00:00,2026/02/14 23:59:59,1Q,FH
2026,08,02,2026/02/15 00:00:00,2026/02/21 23:59:59,1Q,FH
2026,09,02,2026/02/22 00:00:00,2026/02/28 23:59:59,1Q,FH
2026,10,03,2026/03/01 00:00:00,2026/03/07 23:59:59,1Q,FH
2026,11,03,2026/03/08 00:00:00,2026/03/14 23:59:59,1Q,FH
2026,12,03,2026/03/15 00:00:00,2026/03/21 23:59:59,1Q,FH
2026,13,03,2026/03/22 00:00:00,2026/03/28 23:59:59,1Q,FH
2026,14,04,2026/03/29 00:00:00,2026/04/04 23:59:59,2Q,FH
2026,15,04,2026/04/05 00:00:00,2026/04/11 23:59:59,2Q,FH
2026,16,04,2026/04/12 00:00:00,2026/04/18 23:59:59,2Q,FH
2026,17,04,2026/04/19 00:00:00,2026/04/25 23:59:59,2Q,FH
2026,18,04,2026/04/26 00:00:00,2026/05/02 23:59:59,2Q,FH
2026,19,05,2026/05/03 00:00:00,2026/05/09 23:59:59,2Q,FH
2026,20,05,2026/05/10 00:00:00,2026/05/16 23:59:59,2Q,FH
2026,21,05,2026/05/17 00:00:00,2026/05/23 23:59:59,2Q,FH
2026,22,05,2026/05/24 00:00:00,2026/05/30 23:59:59,2Q,FH
2026,23,06,2026/05/31 00:00:00,2026/06/06 23:59:59,2Q,FH
2026,24,06,2026/06/07 00:00:00,2026/06/13 23:59:59,2Q,FH
2026,25,06,2026/06/14 00:00:00,2026/06/20 23:59:59,2Q,FH
2026,26,06,2026/06/21 00:00:00,2026/06/27 23:59:59,2Q,FH
2026,27,07,2026/06/28 00:00:00,2026/07/04 23:59:59,3Q,SH
